Ano,Regiao,Sub_Regiao,Pais,Mes,GeoCodUnidMaior,UnidMaior,GeoCodUnidMenor,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
2004,América Latina,Área Andina,Bolivia,9,BOL-TAR,Tarija,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Bolivia,9,BOL-SCR,Santa Cruz,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,Área Andina,Bolivia,9,BOL-CCH,Cochabamba,...,Sin Informacion,Perros,Perros,5,0
2004,América Latina,Área Andina,Bolivia,9,BOL-LPA,La Paz,...,Sin Informacion,Perros,Perros,2,0
2004,América Latina,Área Andina,Bolivia,9,BOL-CHQ,Chuquisaca,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,Área Andina,Bolivia,9,BOL-SCR,Santa Cruz,...,Sin Informacion,Perros,Perros,1,0
2004,América Latina,México,México,9,MEX-CHP,Chiapas,MEX-CHP-000021,Tonala,Bovinos,Bovinos,1,0
2004,América Latina,México,México,9,MEX-CHP,Chiapas,MEX-CHP-000001,Tuxtla Gutierrez,Bovinos,Bovinos,2,0
2004,América Latina,México,México,9,MEX-CHP,Chiapas,...,Sin Informacion,Bovinos,Bovinos,1,0
2004,América Latina,México,México,9,MEX-OAX,Oaxaca,...,Sin Informacion,Bovinos,Bovinos,1,0
