Ano,Mes,Semana,Regiao,Sub_Regiao,Pais,UnidMaior,UnidMenor,Especie,Categoria,TotalCasos,TotalNaoConfirmados
1971,0,0,Latin America,Central America,Honduras,NA,NA,Cats,Cats,1,NA
1971,0,0,Latin America,Central America,Honduras,NA,NA,Dogs,Dogs,66,NA
1971,0,0,Latin America,Central America,Honduras,NA,NA,Humans,Humans,2,NA
1971,0,0,Latin America,Central America,Honduras,NA,NA,Other Domestic,Other Domestic,1,NA
1971,0,0,Latin America,Central America,Nicaragua,NA,NA,Bovines,Bovines,19,NA
1971,0,0,Latin America,Central America,Nicaragua,NA,NA,Cats,Cats,6,NA
1971,0,0,Latin America,Central America,Nicaragua,NA,NA,Dogs,Dogs,204,NA
1971,0,0,Latin America,Central America,Nicaragua,NA,NA,Humans,Humans,2,NA
1971,0,0,Latin America,Central America,Nicaragua,NA,NA,Wildlife,Other Wild Lives,3,NA
1971,0,0,Latin America,Central America,Panama,NA,NA,Bovines,Bovines,2,NA
1971,0,0,Latin America,Central America,Panama,NA,NA,Dogs,Dogs,31,NA
1971,0,0,Latin America,Central America,Panama,NA,NA,Humans,Humans,1,NA
1971,0,0,Latin America,Central America,Panama,NA,NA,Other Domestic,Other Domestic,1,NA
1971,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Bovines,Bovines,4,NA
1971,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Cats,Cats,30,NA
1971,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Dogs,Dogs,160,NA
1971,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Humans,Humans,4,NA
1971,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Other Domestic,Other Domestic,5,NA
1971,0,0,Latin America,Latin Caribbean,Cuba,NA,NA,Wildlife,Other Wild Lives,19,NA
1971,0,0,Latin America,Latin Caribbean,Dominican Republic,NA,NA,Cats,Cats,9,NA
1971,0,0,Latin America,Latin Caribbean,Dominican Republic,NA,NA,Dogs,Dogs,117,NA
1971,0,0,Latin America,Latin Caribbean,Dominican Republic,NA,NA,Humans,Humans,1,NA
1971,0,0,Latin America,Latin Caribbean,Dominican Republic,NA,NA,Other Domestic,Other Domestic,3,NA
1971,0,0,Latin America,Latin Caribbean,Dominican Republic,NA,NA,Wildlife,Other Wild Lives,1,NA
1971,0,0,Latin America,Latin Caribbean,Haiti,NA,NA,Dogs,Dogs,144,NA
1971,0,0,Latin America,Latin Caribbean,Haiti,NA,NA,Humans,Humans,4,NA
1971,0,0,Latin America,Latin Caribbean,Haiti,NA,NA,Wildlife,Other Wild Lives,2,NA
1971,0,0,Latin America,Mexico,Mexico,NA,NA,Bovines,Bovines,435,NA
1971,0,0,Latin America,Mexico,Mexico,NA,NA,Cats,Cats,214,NA
1971,0,0,Latin America,Mexico,Mexico,NA,NA,Dogs,Dogs,7239,NA
1971,0,0,Latin America,Mexico,Mexico,NA,NA,Humans,Humans,73,NA
1971,0,0,Latin America,Mexico,Mexico,NA,NA,Other Domestic,Other Domestic,57,NA
1971,0,0,Latin America,Mexico,Mexico,NA,NA,Wildlife,Other Wild Lives,82,NA
1971,0,0,Latin America,South Cone,Argentina,NA,NA,Bovines,Bovines,496,NA
1971,0,0,Latin America,South Cone,Argentina,NA,NA,Cats,Cats,50,NA
1971,0,0,Latin America,South Cone,Argentina,NA,NA,Dogs,Dogs,646,NA
1971,0,0,Latin America,South Cone,Argentina,NA,NA,Humans,Humans,2,NA
1971,0,0,Latin America,South Cone,Argentina,NA,NA,Other Domestic,Other Domestic,21,NA
1971,0,0,Latin America,South Cone,Argentina,NA,NA,Wildlife,Other Wild Lives,2,NA
1971,0,0,Latin America,South Cone,Chile,NA,NA,Bovines,Bovines,3,NA
1971,0,0,Latin America,South Cone,Chile,NA,NA,Dogs,Dogs,17,NA
1971,0,0,Latin America,South Cone,Chile,NA,NA,Humans,Humans,1,NA
1971,0,0,Latin America,South Cone,Paraguay,NA,NA,Bovines,Bovines,4,NA
1971,0,0,Latin America,South Cone,Paraguay,NA,NA,Cats,Cats,4,NA
1971,0,0,Latin America,South Cone,Paraguay,NA,NA,Dogs,Dogs,258,NA
1971,0,0,Latin America,South Cone,Paraguay,NA,NA,Humans,Humans,2,NA
1971,0,0,Latin America,South Cone,Paraguay,NA,NA,Wildlife,Other Wild Lives,4,NA
1971,0,0,North America,Canada,Canada,NA,NA,Bovines,Bovines,464,NA
1971,0,0,North America,Canada,Canada,NA,NA,Cats,Cats,83,NA
1971,0,0,North America,Canada,Canada,NA,NA,Dogs,Dogs,98,NA
1971,0,0,North America,Canada,Canada,NA,NA,Other Domestic,Other Domestic,112,NA
1971,0,0,North America,Canada,Canada,NA,NA,Wildlife,Other Wild Lives,983,NA
1971,0,0,North America,United States,United States,NA,NA,Bovines,Bovines,398,NA
1971,0,0,North America,United States,United States,NA,NA,Cats,Cats,222,NA
1971,0,0,North America,United States,United States,NA,NA,Dogs,Dogs,235,NA
1971,0,0,North America,United States,United States,NA,NA,Humans,Humans,2,NA
1971,0,0,North America,United States,United States,NA,NA,Other Domestic,Other Domestic,84,NA
1971,0,0,North America,United States,United States,NA,NA,Wildlife,Other Wild Lives,3451,NA
1972,0,0,Caribbean,Caribbean,Grenada,NA,NA,Bovines,Bovines,4,NA
1972,0,0,Caribbean,Caribbean,Grenada,NA,NA,Cats,Cats,1,NA
1972,0,0,Caribbean,Caribbean,Grenada,NA,NA,Dogs,Dogs,1,NA
1972,0,0,Caribbean,Caribbean,Grenada,NA,NA,Other Domestic,Other Domestic,5,NA
1972,0,0,Caribbean,Caribbean,Grenada,NA,NA,Wildlife,Other Wild Lives,71,NA
1972,0,0,Caribbean,Caribbean,Trinidad and Tobago,NA,NA,Bovines,Bovines,20,NA
1972,0,0,Caribbean,Caribbean,Trinidad and Tobago,NA,NA,Other Domestic,Other Domestic,1,NA
1972,0,0,Caribbean,Caribbean,Trinidad and Tobago,NA,NA,Wildlife,Other Wild Lives,6,NA
1972,0,0,Latin America,Andean Area,Bolivia,NA,NA,Bovines,Bovines,31,NA
1972,0,0,Latin America,Andean Area,Bolivia,NA,NA,Dogs,Dogs,536,NA
1972,0,0,Latin America,Andean Area,Bolivia,NA,NA,Humans,Humans,1,NA
1972,0,0,Latin America,Andean Area,Bolivia,NA,NA,Wildlife,Other Wild Lives,8,NA
1972,0,0,Latin America,Andean Area,Colombia,NA,NA,Bovines,Bovines,37,NA
1972,0,0,Latin America,Andean Area,Colombia,NA,NA,Cats,Cats,213,NA
1972,0,0,Latin America,Andean Area,Colombia,NA,NA,Dogs,Dogs,3043,NA
1972,0,0,Latin America,Andean Area,Colombia,NA,NA,Humans,Humans,18,NA
1972,0,0,Latin America,Andean Area,Colombia,NA,NA,Other Domestic,Other Domestic,26,NA
1972,0,0,Latin America,Andean Area,Colombia,NA,NA,Wildlife,Other Wild Lives,103,NA
1972,0,0,Latin America,Andean Area,Ecuador,NA,NA,Bovines,Bovines,35,NA
1972,0,0,Latin America,Andean Area,Ecuador,NA,NA,Cats,Cats,34,NA
1972,0,0,Latin America,Andean Area,Ecuador,NA,NA,Dogs,Dogs,645,NA
1972,0,0,Latin America,Andean Area,Ecuador,NA,NA,Humans,Humans,12,NA
1972,0,0,Latin America,Andean Area,Ecuador,NA,NA,Other Domestic,Other Domestic,2,NA
1972,0,0,Latin America,Andean Area,Ecuador,NA,NA,Wildlife,Other Wild Lives,2,NA
1972,0,0,Latin America,Andean Area,Peru,NA,NA,Bovines,Bovines,6,NA
1972,0,0,Latin America,Andean Area,Peru,NA,NA,Cats,Cats,12,NA
1972,0,0,Latin America,Andean Area,Peru,NA,NA,Dogs,Dogs,310,NA
1972,0,0,Latin America,Andean Area,Peru,NA,NA,Humans,Humans,5,NA
1972,0,0,Latin America,Andean Area,Peru,NA,NA,Other Domestic,Other Domestic,3,NA
1972,0,0,Latin America,Andean Area,Peru,NA,NA,Wildlife,Other Wild Lives,1,NA
1972,0,0,Latin America,Andean Area,Venezuela,NA,NA,Bovines,Bovines,732,NA
1972,0,0,Latin America,Andean Area,Venezuela,NA,NA,Cats,Cats,29,NA
1972,0,0,Latin America,Andean Area,Venezuela,NA,NA,Dogs,Dogs,266,NA
